Column1,sora,aya,text,tafseer,emlaey
0,1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"باسم الله أبدأ قراءة القرآن، مستعينًا به تعالى متبركًا بذكر اسمه. وقد تضمنت البسملة ثلاثة من أسماء الله الحسنى، وهي: 1 - (الله)؛ أي: المعبود بحق، وهو أخص أسماء الله تعالى، ولا يسمى به غيره سبحانه. 2 - (الرَّحْمَن)؛ أي: ذو الرحمة الواسعة. فهو الرحمن بذاته. 3 - (الرَّحِيم)؛ أي: ذو الرحمة الواصلة. فهو يرحم برحمته من شاء من خلقه ومنهم المؤمنون من عباده.",بسم الله الرحمن الرحيم
1,1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"الثناء الكامل، وجميع أنواع المحامد من صفات الجلال والكمال هي لله وحده دون من سواه؛ إذ هو رب كل شيء وخالقه ومدبره. والعالمون جمع عالَم، وهم كل ما سوى الله تعالى.",الحمد لله رب العالمين
2,1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,ثناء على الله تعالى بعد حمده في الآية السابقة.,الرحمن الرحيم
3,1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,"تمجيد لله تعالى بأنه المالك لكل ما في يوم القيامة، حيث لا تملك نفس لنفس شيئًا. ف«يوم الدين»: يوم الجزاء والحساب.",مالك يوم الدين
4,1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,"نخصُّك وحدك بأنواع العبادة والطاعة، فلا نشرك معك غيرك، ومنك وحدك نطلب العون في كل شؤوننا، فبِيَدِكَ الخير كله، ولا مُعين سواك.",اياك نعبد واياك نستعين
5,1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,"دُلَّنا إلى الصراط المستقيم، واسلك بنا فيه، وثبِّتنا عليه، وزدنا هدى. و(الصراط المستقيم) هو الطريق الواضح الذي لا اعوجاج فيه، وهو الإسلام الذي أرسل الله به محمدًا صلى الله عليه وسلم .",اهدنا الصراط المستقيم
6,1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"طريق الذين أنعمت عليهم من عبادك بهدايتهم؛ كالنبيين والصدِّيقين والشهداء والصالحين وحَسُنَ أولئك رفيقًا، غير طريق المغضوب عليهم الذين عرفوا الحق ولم يتبعوه كاليهود، وغير طريق الضالين عن الحق الذين لم يهتدوا إليه لتفريطهم في طلب الحق والاهتداء إليه كالنصارى.",صراط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين
7,2,1,الٓمٓ,"(الم) هذه من الحروف التي افتُتِحت بها بعض سور القرآن، وهي حروفٌ هجائية لا معنى لها في نفسها إذا جاءت مفردة هكذا (أ، ب، ت، إلخ)، ولها حكمة ومغزى؛ حيث لا يوجد في القرآن ما لا حكمة له، ومن أهم حِكَمها: الإشارة إلى التحدي بالقرآن الذي يتكوَّن من الحروف نفسها التي يعرفونها ويتكلمون بها؛ لذا يأتي غالبًا بعدها ذكرٌ للقرآن الكريم، كما في هذه السورة.",الم
8,2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"ذلك القرآن العظيم لا شك فيه، لا من جهة تنزيله، ولا من حيث لفظه ومعناه، فهو كلام الله، يهدي المتقين إلى الطريق الموصل إليه.",ذلك الكتاب لا ريب فيه هدى للمتقين
9,2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"3 - 4 - الذين يؤمنون بالغيب وهو كل ما لا يُدرك بالحواس وغاب عنّا، مما أخبر الله عنه أو أخبر عنه رسوله، كاليوم الآخر، وهم الذين يقيمون الصلاة بأدائها وفق ما شرع الله من شروطها، وأركانها، وواجباتها، وسننها، وهم الذين ينفقون مما رزقهم الله، بإخراج الواجب كالزكاة، أو غير الواجب كصدقة التطوع؛ رجاء ثواب الله، وهم الذين يؤمنون بالوحي الذي أنزل الله عليك - أيها النبي - والذي أنزل على سائر الأنبياء عليهم السلام من قبلك دون تفريق، وهم الذين يؤمنون إيمانًا جازمًا بالآخرة وما فيها من الثواب والعقاب.",الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
